Iteration	Likelihood
1	-811820.9590814962
2	-808524.938081153
3	-804956.9741177536
4	-800853.6208952183
5	-796461.3964090109
6	-792189.0991648015
7	-788347.3866653682
8	-785058.6950711781
9	-782301.985777381
10	-779998.6751700256
11	-778068.9862324812
12	-776454.4971678909
13	-775106.6151222326
14	-773972.8390708927
15	-773003.8655029511
16	-772166.998920458
17	-771440.3905401475
18	-770803.8316010283
19	-770239.7767300998
20	-769738.6222332141
21	-769294.3488026655
22	-768902.7627117627
23	-768555.3522589817
24	-768241.944284767
25	-767958.1038037537
26	-767701.5742665026
27	-767472.5216996993
28	-767265.8280782549
29	-767074.0789251161
30	-766890.289797676
31	-766713.0602632865
32	-766544.4317784683
33	-766384.9532678293
34	-766235.7648972746
35	-766096.7583031167
36	-765966.611060799
37	-765841.8889091674
38	-765724.3380281549
39	-765612.9818944642
40	-765505.671984703
41	-765400.552652083
42	-765296.5693287381
43	-765195.2940370423
44	-765098.5357995034
45	-765005.1421327954
46	-764915.4951223937
47	-764827.5276525769
48	-764741.2535293879
49	-764659.173763292
50	-764580.1506779398
51	-764502.990944459
52	-764428.0290021581
53	-764356.721769452
54	-764288.914054584
55	-764224.2118328591
56	-764160.5767693204
57	-764091.6113850707
58	-764022.5567962171
59	-763958.6019334302
60	-763899.424479618
61	-763846.070172987
62	-763795.2870482625
63	-763744.615159015
64	-763694.1207872882
65	-763644.107185179
66	-763597.1433124267
67	-763552.3128198986
68	-763505.1614554521
69	-763455.9837485622
70	-763406.4632444707
71	-763359.3796072275
72	-763316.3044155753
73	-763273.6232362216
74	-763228.5500707672
75	-763180.9727824203
76	-763127.6435176339
77	-763070.7575842704
78	-763018.788385644
79	-762972.7764131966
80	-762934.1805433268
81	-762899.3647804246
82	-762865.1129569806
83	-762830.9557281972
84	-762799.7123565816
85	-762770.1816425045
86	-762741.5464522326
87	-762715.0759239999
88	-762688.9822570921
89	-762661.6838119051
90	-762633.2894876209
91	-762602.9332793232
92	-762570.1726666144
93	-762536.3700830189
94	-762505.6503919356
95	-762476.7255680099
96	-762447.2659001442
97	-762416.1331431784
98	-762384.3752868392
99	-762354.0459143013
100	-762323.9598166742
101	-762292.2534604755
102	-762261.2662908024
103	-762231.9282291974
104	-762204.3133705552
105	-762176.1638213927
106	-762146.7085458712
107	-762116.1723152464
108	-762086.1862610679
109	-762056.2838439716
110	-762029.2432506704
111	-762006.9677239353
112	-761986.430279839
113	-761966.1008960248
114	-761944.8590200936
115	-761921.3580272243
116	-761898.2688436286
117	-761876.8752186879
118	-761855.9973769048
119	-761836.6602637169
120	-761817.8147146412
121	-761798.7578826079
122	-761781.2439718281
123	-761764.7457341385
124	-761747.4206749246
125	-761727.6075065332
126	-761705.2251890649
127	-761682.9951228272
128	-761661.2203943671
129	-761639.5026675423
130	-761618.9879990242
131	-761599.6467590147
132	-761581.0315165512
133	-761562.5025089197
134	-761544.030290379
135	-761526.4003618106
136	-761509.6277323813
137	-761493.4075977107
138	-761476.5083528958
139	-761458.4034968101
140	-761440.6044884961
141	-761421.1472688233
142	-761399.2012389445
143	-761377.5080704688
144	-761358.0268689982
145	-761340.0887481191
146	-761320.3599620817
147	-761300.9797695106
148	-761284.6901512711
149	-761270.9047624094
150	-761257.7262494535
151	-761243.035341034
152	-761226.1399692323
153	-761207.8688024834
154	-761189.8162846074
155	-761172.7206608265
156	-761156.0662029709
157	-761141.4375981459
158	-761126.7472981657
159	-761109.2677931609
160	-761087.1523231249
161	-761063.8115033179
162	-761042.7132641925
163	-761024.2133988015
164	-761006.5839229018
165	-760986.1284386171
166	-760961.7048103953
167	-760935.961993153
168	-760910.502517222
169	-760889.6699118704
170	-760874.5497439877
171	-760862.5459257193
172	-760851.2121557107
173	-760840.8183552829
174	-760830.2147373806
175	-760818.3292445702
176	-760804.6174336383
177	-760789.6562867055
178	-760774.2201830046
179	-760757.9195046705
180	-760740.4049392876
181	-760722.5427517628
182	-760706.170504057
183	-760692.5116000223
184	-760681.2856137234
185	-760670.5455634604
186	-760659.8938143264
187	-760650.4449133108
188	-760641.5802760823
189	-760631.9958102398
190	-760621.736481429
191	-760611.017072241
192	-760599.8562141467
193	-760588.8371438351
194	-760578.5784752602
195	-760568.8891367264
196	-760559.6522605311
197	-760550.7911058295
198	-760542.4395707299
199	-760534.3573029501
200	-760526.1717487912
201	-760517.7089074602
202	-760508.5949583222
203	-760499.6447399225
204	-760491.5364082076
205	-760483.5748270567
206	-760475.7659435499
207	-760468.0626642939
208	-760459.9927208038
209	-760450.4038918099
210	-760440.5315486232
211	-760430.9280763313
212	-760421.3704145453
213	-760411.9057519363
214	-760402.9734484766
215	-760394.0239806422
216	-760384.2806449394
217	-760374.2709847265
218	-760365.0388078553
219	-760356.6540306958
220	-760348.9959820688
221	-760342.0549990719
222	-760335.8736325796
223	-760330.1147121958
224	-760323.9364495976
225	-760315.9901160101
226	-760304.6931647353
227	-760290.3110238925
228	-760276.460161477
229	-760265.6738824104
230	-760256.1089685331
231	-760245.8727764238
232	-760234.4215311229
233	-760221.4353559974
234	-760207.431371392
235	-760192.8233159971
236	-760178.4044783594
237	-760165.2594396048
238	-760152.7833851672
239	-760141.8797487763
240	-760132.9985715387
241	-760124.7081687893
242	-760115.598844226
243	-760105.6751821337
244	-760095.1272850574
245	-760085.6224667556
246	-760077.1917120521
247	-760069.1299595333
248	-760060.7697804843
249	-760051.5260829607
250	-760043.337066498
251	-760036.5503245625
252	-760030.724331679
253	-760024.9759086422
254	-760018.6692672054
255	-760011.1461845415
256	-760001.6198963828
257	-759989.9035367342
258	-759975.7191780043
259	-759960.0552356093
260	-759945.1673651146
261	-759933.888106697
262	-759926.6094971425
263	-759920.8142689565
264	-759914.7293146848
265	-759907.5131575087
266	-759899.7206518586
267	-759891.5279290822
268	-759882.2648539682
269	-759873.5342359035
270	-759865.0053558518
271	-759856.8506725001
272	-759849.1660659557
273	-759842.2525005903
274	-759835.657115317
275	-759829.3814335463
276	-759823.3985858652
277	-759817.2785388761
278	-759811.4075922122
279	-759805.8725129599
280	-759799.9453668684
281	-759793.5047018491
282	-759786.4324534462
283	-759779.1018909151
284	-759771.737586705
285	-759764.0235086018
286	-759755.3956647343
287	-759746.5447791175
288	-759738.2684656086
289	-759730.3998872582
290	-759722.8075728702
